No,Date,Time,Inlet TSS (mg/L),Inlet pH,Outlet TSS (mg/L),Outlet pH,Inlet Disch (m3/s),Dosis CL-80 (ppm),Timestamp,Kolom T1,Kolom T2,Kolom T3,Efisiensi_TSS,Delta_pH,Beban_TSS
3344,2025-12-29,00:00:00,470.0,8.3,103.0,8.1,3.233,2.5775853180740285,2025-12-29 00:00:00,0.7122507122507121,0.7122507122507121,0.7122507122507121,78.08510638297872,-0.20000000000000107,1519.51
3348,2025-12-29,04:00:00,890.0,7.88,134.0,8.24,3.233,3.866377977111042,2025-12-29 04:00:00,2.5775853180740285,0.7122507122507121,0.7122507122507121,84.9438202247191,0.3600000000000003,2877.37
3349,2025-12-29,05:00:00,826.0,7.62,139.0,8.23,3.137,3.541954450465767,2025-12-29 05:00:00,3.866377977111042,2.5775853180740285,0.7122507122507121,83.17191283292978,0.6100000000000003,2591.162
3350,2025-12-29,06:00:00,812.0,7.66,156.0,8.2,3.185,3.488574917146346,2025-12-29 06:00:00,3.541954450465767,3.866377977111042,2.5775853180740285,80.78817733990148,0.5399999999999991,2586.2200000000003
3343,2025-12-29,23:00:00,410.0,8.27,98.0,8.15,2.544,2.1837875611460515,2025-12-29 23:00:00,3.488574917146346,3.541954450465767,3.866377977111042,76.09756097560975,-0.11999999999999922,1043.04
3369,2025-12-30,00:00:00,626.0,7.61,171.0,7.31,2.331,4.170837504170837,2025-12-30 00:00:00,2.1837875611460515,3.488574917146346,3.541954450465767,72.68370607028754,-0.3000000000000007,1459.206
3370,2025-12-30,01:00:00,621.0,7.63,175.0,7.38,2.331,4.170837504170837,2025-12-30 01:00:00,4.170837504170837,2.1837875611460515,3.488574917146346,71.81964573268921,-0.25,1447.551
3371,2025-12-30,02:00:00,618.0,7.69,180.0,7.42,2.289,4.247366632687733,2025-12-30 02:00:00,4.170837504170837,4.170837504170837,2.1837875611460515,70.87378640776699,-0.27000000000000046,1414.602
3372,2025-12-30,03:00:00,613.0,7.72,178.0,7.44,2.289,4.247366632687733,2025-12-30 03:00:00,4.247366632687733,4.170837504170837,4.170837504170837,70.96247960848288,-0.27999999999999936,1403.1570000000002
3373,2025-12-30,04:00:00,610.0,7.7,178.0,7.49,2.289,4.247366632687733,2025-12-30 04:00:00,4.247366632687733,4.247366632687733,4.170837504170837,70.81967213114754,-0.20999999999999996,1396.2900000000002
3374,2025-12-30,05:00:00,607.0,7.68,174.0,7.5,2.248,4.324831949387109,2025-12-30 05:00:00,4.247366632687733,4.247366632687733,4.247366632687733,71.33443163097199,-0.17999999999999972,1364.536
3375,2025-12-30,06:00:00,602.0,7.71,172.0,7.53,2.248,4.324831949387109,2025-12-30 06:00:00,4.324831949387109,4.247366632687733,4.247366632687733,71.42857142857143,-0.17999999999999972,1353.296
3352,2025-12-30,07:00:00,620.0,7.75,170.0,7.84,3.137,3.541954450465767,2025-12-30 07:00:00,4.324831949387109,4.324831949387109,4.247366632687733,72.58064516129032,0.08999999999999986,1944.94
3353,2025-12-30,08:00:00,629.0,7.7,181.0,7.2,2.995,3.709886848451122,2025-12-30 08:00:00,3.541954450465767,4.324831949387109,4.324831949387109,71.2241653418124,-0.5,1883.855
3354,2025-12-30,09:00:00,621.0,7.67,177.0,7.61,2.949,3.296786104517539,2025-12-30 09:00:00,3.709886848451122,3.541954450465767,4.324831949387109,71.49758454106279,-0.05999999999999961,1831.329
3355,2025-12-30,10:00:00,617.0,7.71,169.0,7.71,2.949,3.296786104517539,2025-12-30 10:00:00,3.296786104517539,3.709886848451122,3.541954450465767,72.6094003241491,0.0,1819.533
3356,2025-12-30,11:00:00,596.0,7.68,198.0,7.69,2.857,3.402947925174036,2025-12-30 11:00:00,3.296786104517539,3.296786104517539,3.709886848451122,66.77852348993288,0.010000000000000675,1702.7720000000002
3357,2025-12-30,12:00:00,601.0,7.69,228.0,7.72,2.811,3.458634728645401,2025-12-30 12:00:00,3.402947925174036,3.296786104517539,3.296786104517539,62.06322795341098,0.02999999999999936,1689.411
3358,2025-12-30,13:00:00,646.0,7.7,243.0,7.7,2.721,3.573032790232349,2025-12-30 13:00:00,3.458634728645401,3.402947925174036,3.296786104517539,62.38390092879257,0.0,1757.766
3359,2025-12-30,14:00:00,640.0,7.68,250.0,7.77,2.676,3.6331174223550895,2025-12-30 14:00:00,3.573032790232349,3.458634728645401,3.402947925174036,60.9375,0.08999999999999986,1712.64
3360,2025-12-30,15:00:00,651.0,7.74,224.0,7.7,2.588,3.756654645371801,2025-12-30 15:00:00,3.6331174223550895,3.573032790232349,3.458634728645401,65.59139784946237,-0.040000000000000036,1684.788
3361,2025-12-30,16:00:00,649.0,7.75,218.0,7.67,2.544,3.8216282320055903,2025-12-30 16:00:00,3.756654645371801,3.6331174223550895,3.573032790232349,66.40986132511556,-0.08000000000000007,1651.056
3362,2025-12-30,17:00:00,653.0,7.79,212.0,7.62,2.501,3.887333955306766,2025-12-30 17:00:00,3.8216282320055903,3.756654645371801,3.6331174223550895,67.53445635528331,-0.16999999999999993,1633.153
3363,2025-12-30,18:00:00,647.0,7.75,217.0,7.69,2.501,3.887333955306766,2025-12-30 18:00:00,3.887333955306766,3.8216282320055903,3.756654645371801,66.46058732612056,-0.05999999999999961,1618.147
3364,2025-12-30,19:00:00,653.0,7.68,197.0,7.59,2.458,3.955338576982189,2025-12-30 19:00:00,3.887333955306766,3.887333955306766,3.8216282320055903,69.83154670750383,-0.08999999999999986,1605.074
3365,2025-12-30,20:00:00,634.0,7.7,198.0,7.61,2.415,4.025764895330113,2025-12-30 20:00:00,3.955338576982189,3.887333955306766,3.887333955306766,68.76971608832808,-0.08999999999999986,1531.1100000000001
3366,2025-12-30,21:00:00,631.0,7.73,195.0,7.58,2.373,4.097017371353655,2025-12-30 21:00:00,4.025764895330113,3.955338576982189,3.887333955306766,69.09667194928684,-0.15000000000000036,1497.363
3367,2025-12-30,22:00:00,633.0,7.71,188.0,7.5,2.373,4.097017371353655,2025-12-30 22:00:00,4.097017371353655,4.025764895330113,3.955338576982189,70.30015797788309,-0.20999999999999996,1502.1090000000002
3368,2025-12-30,23:00:00,628.0,7.65,178.0,7.44,2.331,4.170837504170837,2025-12-30 23:00:00,4.097017371353655,4.097017371353655,4.025764895330113,71.656050955414,-0.20999999999999996,1463.868
3394,2025-12-31,00:00:00,685.0,7.62,176.0,7.63,2.046,4.072987943955686,2025-12-31 00:00:00,4.170837504170837,4.097017371353655,4.097017371353655,74.3065693430657,0.009999999999999787,1401.5099999999998
3395,2025-12-31,01:00:00,674.0,7.6,174.0,7.66,2.046,4.072987943955686,2025-12-31 01:00:00,4.072987943955686,4.170837504170837,4.097017371353655,74.1839762611276,0.0600000000000005,1379.004
3396,2025-12-31,02:00:00,660.0,7.63,171.0,7.7,2.046,4.072987943955686,2025-12-31 02:00:00,4.072987943955686,4.072987943955686,4.170837504170837,74.0909090909091,0.07000000000000028,1350.36
3397,2025-12-31,03:00:00,649.0,7.66,173.0,7.67,2.046,4.072987943955686,2025-12-31 03:00:00,4.072987943955686,4.072987943955686,4.072987943955686,73.34360554699538,0.009999999999999787,1327.8539999999998
3398,2025-12-31,04:00:00,638.0,7.71,169.0,7.64,2.046,4.072987943955686,2025-12-31 04:00:00,4.072987943955686,4.072987943955686,4.072987943955686,73.51097178683386,-0.07000000000000028,1305.348
3399,2025-12-31,05:00:00,627.0,7.69,167.0,7.62,2.046,4.072987943955686,2025-12-31 05:00:00,4.072987943955686,4.072987943955686,4.072987943955686,73.3652312599681,-0.07000000000000028,1282.8419999999999
3400,2025-12-31,06:00:00,630.0,7.72,164.0,7.58,2.046,3.801455414358641,2025-12-31 06:00:00,4.072987943955686,4.072987943955686,4.072987943955686,73.96825396825398,-0.13999999999999968,1288.9799999999998
3377,2025-12-31,07:00:00,629.0,7.62,171.0,7.68,2.166,4.488560582743409,2025-12-31 07:00:00,3.801455414358641,4.072987943955686,4.072987943955686,72.81399046104929,0.05999999999999961,1362.414
3378,2025-12-31,08:00:00,637.0,7.65,175.0,7.62,2.166,4.488560582743409,2025-12-31 08:00:00,4.488560582743409,3.801455414358641,4.072987943955686,72.52747252747253,-0.03000000000000025,1379.742
3379,2025-12-31,09:00:00,630.0,7.67,177.0,7.6,2.166,4.488560582743409,2025-12-31 09:00:00,4.488560582743409,4.488560582743409,3.801455414358641,71.9047619047619,-0.07000000000000028,1364.58
3380,2025-12-31,10:00:00,687.0,7.64,180.0,7.64,2.166,4.488560582743409,2025-12-31 10:00:00,4.488560582743409,4.488560582743409,4.488560582743409,73.7991266375546,0.0,1488.042
3381,2025-12-31,11:00:00,668.0,7.6,183.0,7.28,2.166,4.488560582743409,2025-12-31 11:00:00,4.488560582743409,4.488560582743409,4.488560582743409,72.60479041916167,-0.3199999999999994,1446.888
3382,2025-12-31,12:00:00,657.0,7.54,179.0,7.55,2.166,4.488560582743409,2025-12-31 12:00:00,4.488560582743409,4.488560582743409,4.488560582743409,72.75494672754947,0.009999999999999787,1423.062
